case,trials,win_rate,ci95_low,ci95_high,mean_turns,p50_turns,p95_turns,capped,coins_per_attempt,exp_per_attempt
link-aquaron-off,200,0.135,0.09446507976920289,0.18929250455117141,24.985,25,30,0,2.955,10.93
link-aquaron-on,200,0.99,0.9642775148038205,0.9972533993962251,20.05,20,23,0,22.08,83.055
link-grassbeat-off,200,0.085,0.05374529946985246,0.13189688544235392,24.995,25,31,0,1.88,7.105
link-grassbeat-on,200,0.935,0.8919799625008207,0.9616240123502404,21.45,21,24,0,20.105,78.595
link-volteck-off,200,0.12,0.08197935023887545,0.17234361425904846,24.235,24,29,0,2.755,9.885
link-volteck-on,200,0.945,0.9042120755340645,0.9690149791986299,20.395,20,23,0,20.765,78.805
link-thornbeat-off,200,0.175,0.12860441174608936,0.23364549210081922,25.67,26,31,0,3.725,14.75
link-thornbeat-on,200,0.97,0.9361048802675267,0.9861798741692518,21.695,21,25,0,21.35,81.57
link-granbeat-off,200,0.41,0.34415559179081295,0.4792366892744849,26.12,27,30,0,9.045,33.77
link-granbeat-on,200,0.875,0.8219846471534161,0.9138808484078432,24.055,24,26,0,19.47,72.78
mode-single-10,200,1,0.9811539940816791,1,2.955,3,3,0,12.5,80
mode-single-30,200,1,0.9811539940816791,1,2.955,3,3,0,12.5,80
mode-three_way-10,200,1,0.9811539940816791,1,6.74,7,8,0,25.32,127.02
mode-three_way-30,200,1,0.9811539940816791,1,6.705,7,8,0,25.355,127.205
mode-invasion_pending-10,200,1,0.9811539940816791,1,3.1,3,3,0,12.835,81.595
mode-invasion_pending-30,200,1,0.9811539940816791,1,3.1,3,3,0,12.835,81.595
boss-10-damage,200,0,0,0.018846005918320894,9.925,10,11,0,0,0
boss-10-tactical,200,0,0,0.018846005918320894,9.925,10,11,0,0,0
boss-30-damage,200,0,0,0.018846005918320894,16.125,16,17,0,0,0
boss-30-tactical,200,0,0,0.018846005918320894,16.125,16,17,0,0,0
boss-60-damage,200,0,0,0.018846005918320894,25.445,25,27,0,0,0
boss-60-tactical,200,0,0,0.018846005918320894,25.445,25,27,0,0,0
boss-100-damage,200,1,0.9811539940816791,1,28.015,28,29,0,36.69,141.345
boss-100-tactical,200,1,0.9811539940816791,1,28.015,28,29,0,36.69,141.345
